product_id,date,sales,price,rating,trend_index,competitor_launch
CrystalTV 861 (TV),2021-01-01,46,1337.09,4.57,100.0,0
CrystalTV 861 (TV),2021-02-01,56,1350.64,4.64,93.74,0
CrystalTV 861 (TV),2021-03-01,82,1395.78,4.53,100.0,0
CrystalTV 861 (TV),2021-04-01,79,1368.07,4.4,100.0,0
CrystalTV 861 (TV),2021-05-01,119,1406.82,4.59,83.99,0
CrystalTV 861 (TV),2021-06-01,117,1393.66,4.26,90.35,0
CrystalTV 861 (TV),2021-07-01,127,1280.15,4.33,99.28,0
CrystalTV 861 (TV),2021-08-01,158,1384.2,4.6,85.95,0
CrystalTV 861 (TV),2021-09-01,156,1466.76,4.28,92.81,0
CrystalTV 861 (TV),2021-10-01,189,1428.63,4.46,95.79,0
CrystalTV 861 (TV),2021-11-01,203,1391.4,4.46,64.21,0
CrystalTV 861 (TV),2021-12-01,182,1330.33,4.4,85.97,0
CrystalTV 861 (TV),2022-01-01,233,1393.68,4.19,85.04,0
CrystalTV 861 (TV),2022-02-01,208,1404.49,4.38,81.43,0
CrystalTV 861 (TV),2022-03-01,262,1363.54,4.35,85.22,0
CrystalTV 861 (TV),2022-04-01,288,1387.06,4.5,86.5,0
CrystalTV 861 (TV),2022-05-01,285,1436.23,4.49,81.68,1
CrystalTV 861 (TV),2022-06-01,253,1338.66,4.53,76.87,0
CrystalTV 861 (TV),2022-07-01,315,1330.38,4.37,82.7,0
CrystalTV 861 (TV),2022-08-01,333,1402.55,4.55,77.41,0
CrystalTV 861 (TV),2022-09-01,299,1392.86,4.23,74.25,0
CrystalTV 861 (TV),2022-10-01,306,1416.41,4.19,65.47,0
CrystalTV 861 (TV),2022-11-01,293,1397.49,4.11,62.51,0
CrystalTV 861 (TV),2022-12-01,319,1350.6,4.39,62.92,0
CrystalTV 861 (TV),2023-01-01,337,1391.81,4.35,72.98,0
CrystalTV 861 (TV),2023-02-01,332,1326.92,4.58,69.27,0
CrystalTV 861 (TV),2023-03-01,373,1363.68,4.36,58.26,0
CrystalTV 861 (TV),2023-04-01,330,1394.73,4.49,71.94,1
CrystalTV 861 (TV),2023-05-01,305,1359.14,4.57,75.83,0
CrystalTV 861 (TV),2023-06-01,333,1475.73,4.35,60.81,0
CrystalTV 861 (TV),2023-07-01,295,1296.0,4.49,51.61,0
CrystalTV 861 (TV),2023-08-01,325,1351.43,4.6,57.62,0
CrystalTV 861 (TV),2023-09-01,358,1335.34,4.26,67.36,0
CrystalTV 861 (TV),2023-10-01,339,1345.13,4.45,64.01,0
CrystalTV 861 (TV),2023-11-01,338,1347.5,4.34,52.51,0
CrystalTV 861 (TV),2023-12-01,364,1319.32,4.26,68.41,0
CrystalTV 861 (TV),2024-01-01,333,1405.03,4.21,65.99,0
CrystalTV 861 (TV),2024-02-01,357,1351.45,4.26,50.21,0
CrystalTV 861 (TV),2024-03-01,341,1380.74,4.44,48.93,1
CrystalTV 861 (TV),2024-04-01,346,1356.08,4.19,48.78,0
CrystalTV 861 (TV),2024-05-01,323,1345.52,4.35,48.17,0
CrystalTV 861 (TV),2024-06-01,335,1442.93,4.55,57.17,0
CrystalTV 861 (TV),2024-07-01,323,1412.04,4.49,52.29,0
CrystalTV 861 (TV),2024-08-01,343,1296.99,4.35,54.24,0
CrystalTV 861 (TV),2024-09-01,351,1292.63,4.68,51.61,0
CrystalTV 861 (TV),2024-10-01,330,1416.98,4.71,57.69,0
CrystalTV 861 (TV),2024-11-01,378,1352.57,4.42,37.07,0
CrystalTV 861 (TV),2024-12-01,353,1306.02,4.05,45.94,0
CrystalTV 861 (TV),2025-01-01,350,1417.11,4.55,26.85,0
CrystalTV 861 (TV),2025-02-01,362,1380.97,4.07,31.64,0
CrystalTV 861 (TV),2025-03-01,339,1384.37,4.64,39.13,0
CrystalTV 861 (TV),2025-04-01,355,1407.37,4.57,41.38,0
CrystalTV 861 (TV),2025-05-01,343,1320.0,4.68,36.53,0
CrystalTV 861 (TV),2025-06-01,378,1306.75,4.45,32.06,0
CrystalTV 861 (TV),2025-07-01,340,1439.17,4.35,32.1,0
CrystalTV 861 (TV),2025-08-01,357,1314.76,4.34,43.21,0
CrystalTV 861 (TV),2025-09-01,362,1323.62,4.32,29.73,0
CrystalTV 861 (TV),2025-10-01,364,1331.86,4.55,43.45,0
CrystalTV 861 (TV),2025-11-01,351,1459.74,4.51,35.56,0
CyberShot 615 (Camera),2021-01-01,35,2133.12,4.2,100.0,0
CyberShot 615 (Camera),2021-02-01,31,2212.56,4.09,99.57,0
CyberShot 615 (Camera),2021-03-01,83,2270.19,4.42,91.63,0
CyberShot 615 (Camera),2021-04-01,87,2208.38,4.4,94.03,0
CyberShot 615 (Camera),2021-05-01,120,2267.44,4.0,91.79,0
CyberShot 615 (Camera),2021-06-01,117,2248.1,4.2,94.27,0
CyberShot 615 (Camera),2021-07-01,124,2285.19,4.29,97.41,0
CyberShot 615 (Camera),2021-08-01,146,2220.38,4.24,96.65,0
CyberShot 615 (Camera),2021-09-01,177,2185.57,4.12,84.26,0
CyberShot 615 (Camera),2021-10-01,183,2348.73,4.29,89.06,0
CyberShot 615 (Camera),2021-11-01,152,2215.56,3.94,92.4,0
CyberShot 615 (Camera),2021-12-01,205,2293.53,4.02,84.84,0
CyberShot 615 (Camera),2022-01-01,220,2345.84,3.92,80.31,0
CyberShot 615 (Camera),2022-02-01,230,2259.98,4.16,81.83,0
CyberShot 615 (Camera),2022-03-01,235,2191.22,3.94,72.15,0
CyberShot 615 (Camera),2022-04-01,276,2236.95,3.99,71.53,0
CyberShot 615 (Camera),2022-05-01,290,2317.65,4.1,66.34,0
CyberShot 615 (Camera),2022-06-01,253,2262.92,4.1,74.3,0
CyberShot 615 (Camera),2022-07-01,288,2167.69,3.85,69.6,0
CyberShot 615 (Camera),2022-08-01,297,2289.26,4.13,63.12,0
CyberShot 615 (Camera),2022-09-01,317,2300.92,4.03,66.09,0
CyberShot 615 (Camera),2022-10-01,308,2225.03,3.78,68.89,0
CyberShot 615 (Camera),2022-11-01,300,2290.17,3.74,77.37,0
CyberShot 615 (Camera),2022-12-01,325,2265.53,3.92,69.41,0
CyberShot 615 (Camera),2023-01-01,315,2235.68,4.04,44.7,1
CyberShot 615 (Camera),2023-02-01,320,2161.73,4.03,60.73,0
